shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
1,PASS,64,128,128,4,4,128,True,PASS,0.00127272,19801.9,0,5242880,0.8146,0.8167,10056765.73,0.1389,0.1422,58959005.06,5.863,21.945,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
2,PASS,1,128,128,4,4,128,True,PASS,0.00114284,9.16143,0,81920,0.7136,1.0536,179368.18,0.0566,0.0575,2261164.54,12.606,6.999,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
3,PASS,4,128,128,4,4,128,True,PASS,0.00123456,30.9584,0,327680,0.7764,0.7855,659494.67,0.0607,0.0611,8434370.02,12.789,22.151,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
4,PASS,16,128,128,4,4,128,True,PASS,0.00134718,23744.8,0,1310720,0.7214,0.7289,2839018.76,0.0771,0.0775,26556017.07,9.354,21.04,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
5,PASS,128,128,128,4,4,128,True,PASS,0.00147235,14313.9,0,10485760,1.3092,1.3322,12514054.15,0.2208,0.229,74213652.59,5.93,24.533,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
6,PASS,10000,128,128,4,4,128,True,PASS,0.00160612,270449000.0,0,819200000,179.089,179.3125,7147282.91,26.5491,26.8043,48212578.03,6.746,93.406,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
7,PASS,64,128,32,4,4,32,True,PASS,0.00179085,332.057,0,1310720,0.7208,0.7353,11365906.71,0.0732,0.0734,111986004.47,9.853,21.737,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
8,PASS,64,128,1024,4,4,1024,True,PASS,0.00134873,2034.76,0,41943040,7.1229,7.1628,1150088.86,2.8616,2.8791,2862750.19,2.489,28.141,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
9,PASS,64,128,128,1,4,128,True,PASS,0.00126606,214.271,0,5242880,0.654,0.6646,12526300.14,0.1574,0.1606,52043098.51,4.155,14.235,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
10,PASS,64,128,128,2,4,128,True,PASS,0.00134726,819.468,0,5242880,0.7254,0.7347,11292456.6,0.1451,0.1467,56474742.97,5.001,10.839,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
11,PASS,64,128,128,16,4,128,True,PASS,0.00140083,15343.5,0,5242880,1.8169,1.839,4508748.92,0.1996,0.2036,41051956.47,9.105,9.689,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 16 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
12,PASS,64,32,128,4,4,128,True,PASS,0.00134718,91.8722,0,1310720,0.7213,0.7279,2839333.71,0.0854,0.0857,23970036.78,8.442,10.587,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 32 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
13,PASS,64,1024,128,4,4,128,True,PASS,0.00147235,5979.85,0,41943040,42.252,42.2904,1551075.11,1.2455,1.2544,52620085.36,33.925,41.276,0,,/venv/main/bin/python /workspace/techjam-2026-track3/main.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 1024 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
