shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
1,PASS,64,128,128,4,4,128,True,PASS,0.00162077,53489.2,0,5242880,1.7225,1.7414,4755844.93,0.1655,0.1674,49506864.96,10.41,11.054,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
2,PASS,1,128,128,4,4,128,True,PASS,0.00111189,9.13812,0,81920,1.7158,1.7429,74601.12,0.1098,0.1149,1166180.74,15.632,11.877,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
3,PASS,4,128,128,4,4,128,True,PASS,0.00118369,184.93,0,327680,1.768,1.7847,289592.76,0.1087,0.1138,4708652.11,16.26,10.864,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
4,PASS,16,128,128,4,4,128,True,PASS,0.0013935,34042.1,0,1310720,1.7394,1.7674,1177433.74,0.1107,0.1167,18497109.63,15.71,11.607,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
5,PASS,128,128,128,4,4,128,True,PASS,0.00162077,51027.8,0,10485760,1.7719,1.7933,9246466.98,0.272,0.274,60228210.07,6.514,11.804,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
6,PASS,10000,128,128,4,4,128,True,PASS,0.00181192,127979000.0,0,819200000,177.3792,177.4411,7216177.59,29.8,29.97,42952996.49,5.952,75.898,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
7,PASS,64,128,32,4,4,32,True,PASS,0.00163698,157.742,0,1310720,1.7157,1.7521,4774649.47,0.1077,0.1139,76032075.43,15.924,12.012,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
8,PASS,64,128,1024,4,4,1024,True,PASS,0.00142959,1717.22,0,41943040,6.6438,6.6699,1233030.79,4.2283,4.2403,1937405.12,1.571,15.542,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
9,PASS,64,128,128,1,4,128,True,PASS,0.00154948,704.653,0,5242880,1.5685,1.597,5222677.94,0.1816,0.1821,45098211.66,8.635,9.346,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
10,PASS,64,128,128,2,4,128,True,PASS,0.00150317,1415.22,0,5242880,1.7512,1.7812,4677806.91,0.1673,0.1676,48976468.46,10.47,9.168,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
11,PASS,64,128,128,16,4,128,True,PASS,0.001562,8515.52,0,5242880,1.7481,1.7987,4686112.73,0.2167,0.2187,37802717.76,8.067,9.02,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 16 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
12,PASS,64,32,128,4,4,128,True,PASS,0.00131336,117.489,0,1310720,1.7239,1.7536,1188012.23,0.1138,0.1143,17992690.08,15.145,9.102,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 32 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
13,PASS,64,1024,128,4,4,128,True,PASS,0.00162077,7217.32,0,41943040,41.8392,41.8648,1566376.12,1.2562,1.3441,52169704.27,33.306,29.004,0,,/venv/main/bin/python /workspace/techjam-v19-tune.LzvYXE/v19_CUDAFP16Checkpoint.py --device cuda:0 --dtype float32 --batch-size 64 --seq-len 1024 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
