checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v16_1,V16.1 standalone final,1,PASS,64,128,128,4,4,128,True,PASS,0.00127273,14313.9,0,5242880,1.764,1.7906,4644117.26,0.1343,0.1348,60995948.61,13.134,7.675,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,2,PASS,1,128,128,4,4,128,True,PASS,0.00114284,5.84446,0,81920,1.7764,1.8114,72055.19,0.1108,0.1159,1155401.48,16.035,7.493,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,3,PASS,4,128,128,4,4,128,True,PASS,0.00124183,80.2956,0,327680,1.7882,1.801,286315.03,0.1108,0.115,4621605.94,16.142,7.664,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,4,PASS,16,128,128,4,4,128,True,PASS,0.00134721,18630.2,0,1310720,1.7384,1.7511,1178062.26,0.1118,0.1169,18317114.73,15.549,7.803,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,5,PASS,128,128,128,4,4,128,True,PASS,0.00147235,19766.4,0,10485760,1.7535,1.7829,9343833.0,0.2102,0.2107,77929982.39,8.34,7.747,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,6,PASS,10000,128,128,4,4,128,True,PASS,0.00160612,270449000.0,0,819200000,177.3218,177.3954,7218515.82,25.1813,25.3027,50831314.74,7.042,73.923,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,7,PASS,64,128,32,4,4,32,True,PASS,0.00179085,184.592,0,1310720,1.7424,1.7542,4701474.73,0.1118,0.1159,73268458.91,15.584,8.331,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00134873,1954.49,0,41943040,6.6464,6.6782,1232541.02,2.7936,2.818,2932400.22,2.379,13.283,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,9,PASS,64,128,128,1,4,128,True,PASS,0.00126606,272.247,0,5242880,1.5747,1.5973,5202300.53,0.1513,0.1532,54151242.44,10.409,8.083,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,10,PASS,64,128,128,2,4,128,True,PASS,0.00134724,1302.22,0,5242880,1.755,1.767,4667870.01,0.1404,0.141,58340931.34,12.498,9.048,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
