checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v16_1,V16.1 standalone final,1,PASS,64,128,128,4,4,128,True,PASS,0.00127272,19764.9,0,5242880,1.7555,1.7742,4666423.66,0.1323,0.1327,61940478.49,13.274,7.682,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,2,PASS,1,128,128,4,4,128,True,PASS,0.00114284,3.97712,0,81920,1.7513,1.7811,73090.07,0.1098,0.1149,1166180.74,15.955,7.53,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,3,PASS,4,128,128,4,4,128,True,PASS,0.0012418,80.517,0,327680,1.7785,1.795,287888.88,0.1108,0.1149,4621605.94,16.053,8.168,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,4,PASS,16,128,128,4,4,128,True,PASS,0.00134721,18456.2,0,1310720,1.7277,1.7638,1185360.81,0.1077,0.1118,19016490.78,16.043,8.0,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,5,PASS,128,128,128,4,4,128,True,PASS,0.00147235,19764.9,0,10485760,1.7634,1.7749,9291353.06,0.2123,0.2127,77178170.45,8.306,7.557,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,6,PASS,10000,128,128,4,4,128,True,PASS,0.00160612,270449000.0,0,819200000,177.3779,177.4465,7216232.84,25.2597,25.4225,50673610.63,7.022,73.432,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,7,PASS,64,128,32,4,4,32,True,PASS,0.00179085,332.49,0,1310720,1.7629,1.7788,4646899.19,0.1108,0.1149,73945695.03,15.913,7.798,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00134873,3284.66,0,41943040,6.6399,6.6545,1233761.68,2.8227,2.8361,2902214.63,2.352,12.146,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,9,PASS,64,128,128,1,4,128,True,PASS,0.00126606,272.256,0,5242880,1.5772,1.6095,5194120.13,0.1512,0.1532,54191361.93,10.433,8.356,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,10,PASS,64,128,128,2,4,128,True,PASS,0.00127739,819.468,0,5242880,1.7287,1.7468,4738810.18,0.1384,0.1394,59177070.55,12.488,9.383,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,11,PASS,64,128,128,16,4,128,True,PASS,0.00140083,15265.0,0,5242880,1.7535,1.7941,4671745.94,0.1856,0.186,44134126.01,9.447,9.096,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 16 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,12,PASS,64,32,128,4,4,128,True,PASS,0.00134721,76.9534,0,1310720,1.741,1.7527,1176330.05,0.1108,0.114,18486423.76,15.715,7.896,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 32 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,13,PASS,64,1024,128,4,4,128,True,PASS,0.00147235,5979.52,0,41943040,41.8442,41.8707,1566189.27,1.0744,1.1474,60996858.86,38.946,20.848,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 1024 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
