checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v3_1_eager,V3.1 eager,1,PASS,64,128,128,4,4,128,True,PASS,0.00105309,2134.02,0,5242880,1.8644,1.8816,4393982.25,0.9592,0.9705,8540450.16,1.944,2.643,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,2,PASS,1,128,128,4,4,128,True,PASS,0.000710994,9.34742,0,81920,1.7186,1.7315,74478.19,0.8889,0.8996,143991.07,1.933,2.577,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,3,PASS,4,128,128,4,4,128,True,PASS,0.000934541,41.1025,0,327680,1.8863,1.9059,271434.87,0.9632,0.9836,531570.28,1.958,2.646,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,4,PASS,16,128,128,4,4,128,True,PASS,0.000914633,2134.02,0,1310720,1.6998,1.7211,1204853.32,0.8717,0.883,2349356.67,1.95,2.565,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,5,PASS,128,128,128,4,4,128,True,PASS,0.00107861,2134.02,0,10485760,1.7227,1.7331,9510541.32,0.8799,0.892,18620890.43,1.958,2.597,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,6,PASS,10000,128,128,4,4,128,True,PASS,0.0013275,124800000.0,0,819200000,177.4523,177.5141,7213207.23,66.2985,66.5781,19306623.02,2.677,80.959,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,7,PASS,64,128,32,4,4,32,True,PASS,0.00131607,127.81,0,1310720,1.7204,1.7359,4761683.4,0.8808,0.8909,9300635.69,1.953,2.553,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,8,PASS,64,128,1024,4,4,1024,True,PASS,0.0011361,1211.26,0,41943040,6.7036,6.7099,1222027.01,5.8938,5.9403,1389937.04,1.137,6.05,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,9,PASS,64,128,128,1,4,128,True,PASS,0.00115407,253.771,0,5242880,1.5192,1.5354,5392198.04,0.8735,0.8852,9378835.33,1.739,2.48,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v3_1_eager,V3.1 eager,10,PASS,64,128,128,2,4,128,True,PASS,0.00101042,374.601,0,5242880,1.7098,1.7364,4791181.25,0.8831,0.8941,9276370.66,1.936,2.566,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_eager --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
