checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v4_3,V4.3 Flash-first,1,PASS,64,128,128,4,4,128,True,PASS,0.001598,7342.62,0,5242880,1.7167,1.7503,4771935.03,0.1362,0.1369,60164511.83,12.608,6.724,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,2,PASS,1,128,128,4,4,128,True,PASS,0.00109094,18.0276,0,81920,1.7505,1.7645,73120.79,0.1087,0.1149,1177163.03,16.099,6.675,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,3,PASS,4,128,128,4,4,128,True,PASS,0.00114536,118.767,0,327680,1.8094,1.8251,282970.48,0.1118,0.121,4579278.68,16.183,14.019,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,4,PASS,16,128,128,4,4,128,True,PASS,0.00133264,2445.05,0,1310720,1.7621,1.7964,1162252.23,0.1118,0.1159,18317114.73,15.76,12.149,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,5,PASS,128,128,128,4,4,128,True,PASS,0.00162899,6752.61,0,10485760,1.7912,1.8087,9147022.26,0.2105,0.2125,77847042.47,8.511,16.302,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,6,PASS,10000,128,128,4,4,128,True,PASS,0.0018464,175490000.0,0,819200000,177.3508,177.42,7217333.63,26.9585,27.1285,47480421.95,6.579,75.179,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,7,PASS,64,128,32,4,4,32,True,PASS,0.00188214,211.255,0,1310720,1.7555,1.7843,4666466.12,0.1117,0.1168,73331422.83,15.715,13.618,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00138444,3131.48,0,41943040,6.6575,6.6832,1230500.03,2.8084,2.8256,2916913.46,2.371,11.473,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,9,PASS,64,128,128,1,4,128,True,PASS,0.00144434,403.696,0,5242880,1.5611,1.5887,5247622.09,0.155,0.1555,52848884.16,10.071,10.235,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_3,V4.3 Flash-first,10,PASS,64,128,128,2,4,128,True,PASS,0.00140238,1465.22,0,5242880,1.7328,1.7456,4727652.06,0.1384,0.1389,59190750.03,12.52,10.023,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_3 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
