checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v8,V8 fused FFN/GELU,1,PASS,64,128,128,4,4,128,True,PASS,0.001598,7332.62,0,5242880,1.7285,1.7405,4739424.28,0.1348,0.1365,60764298.35,12.821,6.693,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,2,PASS,1,128,128,4,4,128,True,PASS,0.00109094,11.7672,0,81920,1.724,1.7669,74243.87,0.1098,0.1149,1166180.74,15.707,7.549,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,3,PASS,4,128,128,4,4,128,True,PASS,0.00114536,117.924,0,327680,1.8142,1.827,282216.81,0.1087,0.1129,4708652.11,16.685,6.662,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,4,PASS,16,128,128,4,4,128,True,PASS,0.00133264,8329.74,0,1310720,1.8424,1.8742,1111583.89,0.1118,0.1159,18319736.35,16.481,7.279,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,5,PASS,128,128,128,4,4,128,True,PASS,0.00162899,6752.61,0,10485760,1.7785,1.7991,9212112.62,0.2103,0.2106,77918125.38,8.458,7.816,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,6,PASS,10000,128,128,4,4,128,True,PASS,0.0018464,314337000.0,0,819200000,177.3542,177.4196,7217194.85,25.2988,25.4768,50595316.64,7.01,76.521,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,7,PASS,64,128,32,4,4,32,True,PASS,0.00188214,211.255,0,1310720,1.7392,1.7534,4710298.29,0.1098,0.1139,74635567.63,15.845,6.578,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00138444,2575.96,0,41943040,6.6289,6.6884,1235801.51,2.8173,2.8298,2907703.07,2.353,11.897,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,9,PASS,64,128,128,1,4,128,True,PASS,0.00144446,403.684,0,5242880,1.5539,1.5702,5271937.15,0.1529,0.1533,53567693.83,10.161,8.742,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,10,PASS,64,128,128,2,4,128,True,PASS,0.00140238,1295.47,0,5242880,1.7365,1.7493,4717502.66,0.1405,0.141,58307709.56,12.36,8.847,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,11,PASS,64,128,128,16,4,128,True,PASS,0.00140238,17102.6,0,5242880,1.7532,1.7687,4672598.69,0.19,0.191,43126684.41,9.23,8.047,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 16 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,12,PASS,64,32,128,4,4,128,True,PASS,0.0013362,58.1861,0,1310720,1.7229,1.7559,1188696.21,0.1108,0.1149,18486423.76,15.552,8.092,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 32 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v8,V8 fused FFN/GELU,13,PASS,64,1024,128,4,4,128,True,PASS,0.00149554,13688.6,0,41943040,41.8433,41.8721,1566225.25,1.0912,1.1691,60056893.01,38.345,20.126,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v8 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 1024 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
