checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
baseline,PyTorch baseline,1,PASS,64,128,128,4,4,128,True,PASS,0.0,0.0,0,5242880,1.7746,1.787,4616189.15,1.774,1.7869,4617854.46,1.0,2.871,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,2,PASS,1,128,128,4,4,128,True,PASS,0.0,0.0,0,81920,1.6994,1.712,75322.47,1.6956,1.7093,75491.64,1.002,2.83,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,3,PASS,4,128,128,4,4,128,True,PASS,0.0,0.0,0,327680,1.7722,1.7843,288912.97,1.7695,1.7816,289344.0,1.001,2.872,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,4,PASS,16,128,128,4,4,128,True,PASS,0.0,0.0,0,1310720,1.7049,1.7178,1201235.01,1.7025,1.7185,1202962.26,1.001,2.833,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,5,PASS,128,128,128,4,4,128,True,PASS,0.0,0.0,0,10485760,1.7566,1.7684,9326981.84,1.7528,1.7688,9347500.43,1.002,2.843,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,6,PASS,10000,128,128,4,4,128,True,PASS,0.0,0.0,0,819200000,177.4162,177.4763,7214674.73,177.4267,177.4885,7214247.23,1.0,117.091,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,7,PASS,64,128,32,4,4,32,True,PASS,0.0,0.0,0,1310720,1.7176,1.7296,4769534.49,1.7114,1.7235,4786791.42,1.004,2.843,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,8,PASS,64,128,1024,4,4,1024,True,PASS,0.0,0.0,0,41943040,6.6761,6.6843,1227055.64,6.6767,6.6872,1226949.78,1.0,6.272,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,9,PASS,64,128,128,1,4,128,True,PASS,0.0,0.0,0,5242880,1.5555,1.5681,5266568.55,1.5573,1.5809,5260508.27,0.999,2.749,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
baseline,PyTorch baseline,10,PASS,64,128,128,2,4,128,True,PASS,0.0,0.0,0,5242880,1.7044,1.7237,4806518.78,1.7014,1.7139,4814881.01,1.002,2.836,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint baseline --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
