checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v1,V1 fused QKV,1,PASS,64,128,128,4,4,128,True,PASS,0.0,0.0,0,5242880,1.7533,1.7649,4672214.92,1.5892,1.601,5154742.99,1.103,2.815,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,2,PASS,1,128,128,4,4,128,True,PASS,0.000531549,3.86269,0,81920,1.7351,1.7523,73772.16,1.5816,1.5946,80932.34,1.097,2.824,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,3,PASS,4,128,128,4,4,128,True,PASS,0.000607941,16.9967,0,327680,1.7568,1.7722,291433.67,1.5767,1.6668,324721.46,1.114,2.832,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,4,PASS,16,128,128,4,4,128,True,PASS,0.0,0.0,0,1310720,1.7423,1.7567,1175465.83,1.568,1.5782,1306122.43,1.111,2.799,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,5,PASS,128,128,128,4,4,128,True,PASS,0.0,0.0,0,10485760,1.7416,1.7548,9407700.74,1.5657,1.5795,10464141.86,1.112,2.819,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,6,PASS,10000,128,128,4,4,128,True,PASS,0.0,0.0,0,819200000,177.4435,177.4988,7213565.13,174.2827,174.3649,7344388.37,1.018,116.069,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,7,PASS,64,128,32,4,4,32,True,PASS,0.0,0.0,0,1310720,1.7239,1.7377,4752137.15,1.5579,1.5673,5258509.05,1.107,2.798,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,8,PASS,64,128,1024,4,4,1024,True,PASS,0.0,0.0,0,41943040,6.7037,6.7109,1222003.72,6.501,6.5066,1260118.51,1.031,6.311,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,9,PASS,64,128,128,1,4,128,True,PASS,0.0,0.0,0,5242880,1.5585,1.57,5256403.79,1.5342,1.5468,5339729.82,1.016,2.733,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,10,PASS,64,128,128,2,4,128,True,PASS,0.0,0.0,0,5242880,1.7244,1.7401,4750770.14,1.559,1.57,5254569.4,1.106,2.813,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
v1,V1 fused QKV,11,PASS,64,128,128,16,4,128,True,PASS,0.0,0.0,0,5242880,1.7461,1.7604,4691652.05,1.6027,1.6258,5111412.78,1.089,2.818,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 16 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal
