checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v3_1_compiled,V3.1 compiled,1,ACCURACY_FAIL,64,128,128,4,4,128,True,FAIL,0.00452989,112564.0,2442,5242880,,,,,,,,5.512,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,2,ACCURACY_FAIL,1,128,128,4,4,128,True,FAIL,0.0036853,33.7156,27,81920,,,,,,,,5.488,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,3,ACCURACY_FAIL,4,128,128,4,4,128,True,FAIL,0.00385581,496.849,150,327680,,,,,,,,13.904,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,4,ACCURACY_FAIL,16,128,128,4,4,128,True,FAIL,0.00452989,112567.0,587,1310720,,,,,,,,14.929,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,5,ACCURACY_FAIL,128,128,128,4,4,128,True,FAIL,0.00452989,112564.0,4909,10485760,,,,,,,,16.475,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,6,ACCURACY_FAIL,10000,128,128,4,4,128,True,FAIL,0.00421563,563661000.0,167787,819200000,,,,,,,,7.051,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,7,ACCURACY_FAIL,64,128,32,4,4,32,True,FAIL,0.00583315,427.625,1268,1310720,,,,,,,,12.68,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,8,ACCURACY_FAIL,64,128,1024,4,4,1024,True,FAIL,0.0034802,17828.6,3948,41943040,,,,,,,,6.047,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,9,ACCURACY_FAIL,64,128,128,1,4,128,True,FAIL,0.00452989,1439.52,2537,5242880,,,,,,,,10.759,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v3_1_compiled,V3.1 compiled,10,ACCURACY_FAIL,64,128,128,2,4,128,True,FAIL,0.00452989,3594.06,2474,5242880,,,,,,,,8.442,2,accuracy check failed,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v3_1_compiled --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
