checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v4_2,V4.2 SDPA dispatch,1,PASS,64,128,128,4,4,128,True,PASS,0.00159806,15387.7,0,5242880,1.7483,1.7596,4685769.72,0.1652,0.1656,49583575.77,10.582,8.556,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,2,PASS,1,128,128,4,4,128,True,PASS,0.00109094,9.41795,0,81920,1.7521,1.7898,73054.69,0.1108,0.118,1155067.84,15.811,9.12,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,3,PASS,4,128,128,4,4,128,True,PASS,0.00114536,149.269,0,327680,1.8036,1.939,283869.14,0.1098,0.1149,4663363.39,16.428,11.81,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,4,PASS,16,128,128,4,4,128,True,PASS,0.00133264,6384.05,0,1310720,1.7377,1.7693,1178539.51,0.1088,0.1129,18829067.17,15.977,11.066,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,5,PASS,128,128,128,4,4,128,True,PASS,0.00162899,2287.53,0,10485760,1.7571,1.7737,9324518.72,0.274,0.276,59806095.83,6.414,5.535,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,6,PASS,10000,128,128,4,4,128,True,PASS,0.0018464,228814000.0,0,819200000,177.3581,177.4255,7217038.37,27.9282,28.1688,45831876.12,6.351,72.078,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,7,PASS,64,128,32,4,4,32,True,PASS,0.00188218,215.915,0,1310720,1.7581,1.7936,4659671.01,0.1105,0.1149,74138430.72,15.911,10.633,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00138271,1576.99,0,41943040,6.6131,6.6741,1238749.62,2.9272,2.9432,2798578.89,2.259,10.819,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,9,PASS,64,128,128,1,4,128,True,PASS,0.00144446,403.687,0,5242880,1.5608,1.5913,5248590.61,0.155,0.1553,52859799.21,10.071,10.496,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v4_2,V4.2 SDPA dispatch,10,PASS,64,128,128,2,4,128,True,PASS,0.00140238,832.298,0,5242880,1.7176,1.7312,4769445.77,0.1614,0.1633,50753368.09,10.641,8.102,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v4_2 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
