checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v11,V11 FP32 pre-GELU,1,PASS,64,128,128,4,4,128,True,PASS,0.00127272,3012.98,0,5242880,1.7568,1.7917,4663108.49,0.1343,0.1348,60995948.61,13.081,8.879,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,2,PASS,1,128,128,4,4,128,True,PASS,0.00114284,4.95806,0,81920,1.7228,1.7406,74298.34,0.1087,0.1128,1177509.56,15.848,7.873,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,3,PASS,4,128,128,4,4,128,True,PASS,0.00124183,83.2096,0,327680,1.7772,1.7936,288098.82,0.1098,0.1139,4664722.98,16.191,7.997,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,4,PASS,16,128,128,4,4,128,True,PASS,0.00134721,22175.9,0,1310720,1.7375,1.9001,1178691.48,0.1108,0.1169,18486423.76,15.684,9.45,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,5,PASS,128,128,128,4,4,128,True,PASS,0.00147235,23799.7,0,10485760,1.7561,1.7825,9329700.86,0.2188,0.2207,74897602.05,8.028,9.012,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,6,PASS,10000,128,128,4,4,128,True,PASS,0.00160612,256309000.0,0,819200000,177.3472,177.4081,7217480.18,25.4183,25.618,50357348.5,6.977,75.474,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,7,PASS,64,128,32,4,4,32,True,PASS,0.00179085,332.509,0,1310720,1.7296,1.7632,4736267.54,0.1087,0.113,75338433.71,15.907,9.25,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00134873,3811.22,0,41943040,6.6802,6.6972,1226317.92,2.8217,2.8392,2903251.44,2.367,12.702,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,9,PASS,64,128,128,1,4,128,True,PASS,0.00126606,272.256,0,5242880,1.5447,1.5759,5303391.23,0.1509,0.1512,54294805.96,10.238,9.264,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,10,PASS,64,128,128,2,4,128,True,PASS,0.00127739,1302.26,0,5242880,1.7404,1.7743,4706877.47,0.1384,0.1389,59190750.03,12.575,9.035,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,11,PASS,64,128,128,16,4,128,True,PASS,0.00140083,15265.0,0,5242880,1.748,1.7769,4686455.96,0.1879,0.1896,43589308.6,9.301,8.957,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 16 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,12,PASS,64,32,128,4,4,128,True,PASS,0.00134721,84.0038,0,1310720,1.7223,1.758,1189137.96,0.1098,0.1145,18658891.91,15.691,9.056,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 32 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v11,V11 FP32 pre-GELU,13,PASS,64,1024,128,4,4,128,True,PASS,0.00147235,5979.85,0,41943040,41.8467,41.8706,1566097.68,1.08,1.1556,60683280.87,38.748,21.037,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v11 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 1024 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
