checkpoint_id,checkpoint_label,shape_id,status,batch_size,seq_len,d_model,heads,layers,ffn_dim,causal,accuracy,max_abs,max_rel,failed,total,baseline_median_ms,baseline_p90_ms,baseline_throughput,optimized_median_ms,optimized_p90_ms,optimized_throughput,speedup,duration_s,returncode,error,command
v16_1,V16.1 standalone final,1,PASS,64,128,128,4,4,128,True,PASS,0.00127272,19764.9,0,5242880,1.7753,1.792,4614524.87,0.1343,0.1348,61010488.8,13.221,7.724,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,2,PASS,1,128,128,4,4,128,True,PASS,0.00114284,3.97712,0,81920,1.7515,1.7847,73078.71,0.1107,0.1158,1156737.99,15.829,7.574,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 1 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,3,PASS,4,128,128,4,4,128,True,PASS,0.0012418,80.2956,0,327680,1.7879,1.9065,286363.71,0.1088,0.1139,4707266.79,16.438,7.611,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 4 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,4,PASS,16,128,128,4,4,128,True,PASS,0.00134721,18456.2,0,1310720,1.7537,1.7688,1167840.62,0.1108,0.114,18481085.45,15.825,7.671,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 16 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,5,PASS,128,128,128,4,4,128,True,PASS,0.00147235,19764.9,0,10485760,1.7653,1.783,9281331.11,0.2102,0.2106,77929982.39,8.396,7.52,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 128 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,6,PASS,10000,128,128,4,4,128,True,PASS,0.00160612,270449000.0,0,819200000,177.3402,177.4036,7217766.78,25.1921,25.3722,50809618.53,7.04,73.458,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 10000 --seq-len 128 --d-model 128 --heads 4 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,7,PASS,64,128,32,4,4,32,True,PASS,0.00179085,332.49,0,1310720,1.7224,1.7458,4756021.69,0.1086,0.113,75460575.06,15.866,7.576,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 32 --heads 4 --ffn-dim 32 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,8,PASS,64,128,1024,4,4,1024,True,PASS,0.00134873,1905.79,0,41943040,6.6618,6.6852,1229705.09,2.8122,2.8268,2913063.25,2.369,13.885,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 1024 --heads 4 --ffn-dim 1024 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,9,PASS,64,128,128,1,4,128,True,PASS,0.00126606,272.247,0,5242880,1.5503,1.5805,5284015.84,0.1527,0.1532,53646269.74,10.153,8.03,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 1 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
v16_1,V16.1 standalone final,10,PASS,64,128,128,2,4,128,True,PASS,0.00127739,819.468,0,5242880,1.7414,1.7712,4704152.89,0.1405,0.141,58314352.13,12.396,8.888,0,,/venv/main/bin/python /workspace/techjam-2026-track3/timeline_adapter.py --checkpoint v16_1 --device cuda:0 --dtype float32 --batch-size 64 --seq-len 128 --d-model 128 --heads 2 --ffn-dim 128 --layers 4 --accuracy-trials 5 --warmup 20 --repeats 100 --benchmark-rounds 3 --seed 1234 --matmul-precision high --causal --compile-user --compile-mode max-autotune
